"BehaviorSpace results (NetLogo 3D 6.1.1)"
"TumourAngioSim.nlogo3d"
"final-state"
"11/01/2020 14:38:42:562 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-15","15"
"[run number]","quiescent-duration","angiogenesis-signal-radius","initial-cells","max-low-energy-duration","malignant-proliferation-chance","angiogenesis-min-demand","energy-req-prolif","normal-proliferation-chance","disease-ratio","[step]","count-malignant-cells","count-somatic-cells","count-malignant-spawn-cells","count-somatic-spawn-cells","count-quiescent-cells-at-final-tick","count-quiescent-cells-occurences","count-vascular-patches"
"226","15","2","500","10","2.25","3","2","2","2","301","261","330","437","2437","7","41","1123"
"225","15","2","500","10","2.25","3","2","2","2","301","705","385","1113","2473","20","107","1514"
"227","15","2","500","10","2.25","3","2","2","2","301","735","199","1410","1730","25","178","1389"
"230","15","2","500","10","2.25","3","2","2","2","301","328","255","621","1895","10","68","1249"
"233","15","2","500","10","2.25","3","2","2","2","301","77","217","161","1792","4","21","909"
"231","15","2","500","10","2.25","3","2","2","2","301","669","241","1210","2059","20","140","1532"
"228","15","2","500","10","2.25","3","2","2","2","301","1481","231","2494","2169","62","251","2413"
"234","15","2","500","10","2.25","3","2","2","2","301","201","448","381","2455","7","46","1092"
"229","15","2","500","10","2.25","3","2","2","2","301","1517","276","2612","1961","55","273","2317"
"232","15","2","500","10","2.25","3","2","2","2","301","879","383","1460","2589","38","154","1758"
"235","15","2","500","10","2.25","3","2","2","2","301","1393","135","2233","1535","44","200","2313"
"237","15","2","500","10","2.25","3","2","2","2","301","168","357","376","2183","8","47","977"
"239","15","2","500","10","2.25","3","2","2","2","301","593","249","1021","1917","20","112","1319"
"240","15","2","500","10","2.25","3","2","2","2","301","11","484","56","2602","0","11","791"
"236","15","2","500","10","2.25","3","2","2","2","301","2172","277","3729","2073","83","406","2963"
"238","15","2","500","10","2.25","3","2","2","2","301","978","308","1630","2262","30","159","1838"
"243","15","2","500","10","2.25","3","2","2","2","301","158","247","322","1926","5","32","783"
"242","15","2","500","10","2.25","3","2","2","2","301","576","359","983","2338","11","94","1341"
"244","15","2","500","10","2.25","3","2","2","2","301","714","313","1191","2047","18","116","1241"
"245","15","2","500","10","2.25","3","2","2","2","301","124","442","299","2760","3","33","982"
"246","15","2","500","10","2.25","3","2","2","2","301","0","374","0","2485","0","2","783"
"241","15","2","500","10","2.25","3","2","2","2","301","1717","321","3008","2341","85","355","2325"
"248","15","2","500","10","2.25","3","2","2","2","301","987","192","1712","1806","35","166","1491"
"247","15","2","500","10","2.25","3","2","2","2","301","1040","329","1811","2335","41","219","1718"
"252","15","2","500","10","2.25","5","2","2","2","301","2","342","26","2615","0","8","783"
"251","15","2","500","10","2.25","5","2","2","2","301","660","287","1062","2072","25","99","1331"
"250","15","2","500","10","2.25","3","2","2","2","301","676","387","1281","2477","24","149","1261"
"249","15","2","500","10","2.25","3","2","2","2","301","1271","305","2169","2162","52","239","2025"
"255","15","2","500","10","2.25","5","2","2","2","301","0","271","12","1928","0","7","783"
"253","15","2","500","10","2.25","5","2","2","2","301","531","307","920","2160","21","90","1221"
"254","15","2","500","10","2.25","5","2","2","2","301","184","375","368","2317","6","28","940"
"257","15","2","500","10","2.25","5","2","2","2","301","10","372","70","2280","0","11","783"
"256","15","2","500","10","2.25","5","2","2","2","301","537","190","986","1839","22","125","1264"
"258","15","2","500","10","2.25","5","2","2","2","301","23","372","54","2319","1","11","783"
"260","15","2","500","10","2.25","5","2","2","2","301","620","299","994","1921","26","91","1283"
"263","15","2","500","10","2.25","5","2","2","2","301","9","321","42","2147","0","17","783"
"266","15","2","500","10","2.25","5","2","2","2","301","270","249","509","2120","9","76","987"
"262","15","2","500","10","2.25","5","2","2","2","301","1030","251","1674","1893","39","195","1642"
"261","15","2","500","10","2.25","5","2","2","2","301","1003","346","1815","2329","38","180","1672"
"265","15","2","500","10","2.25","5","2","2","2","301","944","345","1569","2059","28","171","1516"
"259","15","2","500","10","2.25","5","2","2","2","301","2038","272","3714","2133","78","428","2427"
"264","15","2","500","10","2.25","5","2","2","2","301","902","380","1561","2358","29","167","1432"
"269","15","2","500","10","2.25","5","2","2","2","301","14","371","34","2346","0","5","783"
"267","15","2","500","10","2.25","5","2","2","2","301","942","364","1661","2402","42","173","1429"
"268","15","2","500","10","2.25","5","2","2","2","301","1042","434","1708","2304","41","172","1194"
"270","15","2","500","10","2.25","5","2","2","2","301","1141","476","1957","2731","47","214","1690"
"272","15","2","500","10","2.25","5","2","2","2","301","371","330","607","2097","10","63","1065"
"275","15","2","500","10","2.25","5","2","2","2","301","151","191","286","1590","11","49","943"
"271","15","2","500","10","2.25","5","2","2","2","301","814","408","1514","2612","26","183","1282"
"273","15","2","500","10","2.25","5","2","2","2","301","382","373","689","2121","17","75","997"
"277","15","2","500","10","2.25","5","2","2","2","301","66","287","156","2184","3","18","783"
"274","15","2","500","10","2.25","5","2","2","2","301","929","193","1572","1689","24","159","1036"
"276","15","2","500","10","2.25","5","2","2","2","301","439","291","721","2138","18","80","1129"
"280","15","2","500","10","2.25","5","2","2","2","301","56","506","148","3029","2","21","783"
"279","15","2","500","10","2.25","5","2","2","2","301","1097","292","1807","2157","44","179","1664"
"282","15","2","500","10","2.25","5","2","2","2","301","268","396","581","2291","6","57","1001"
"278","15","2","500","10","2.25","5","2","2","2","301","2229","354","3860","2061","83","420","2452"
"284","15","2","500","10","2.25","5","2","2","2","301","4","348","30","2096","0","9","783"
"286","15","2","500","10","2.25","5","2","2","2","301","24","300","80","1949","1","13","791"
